_______________________________________________________________ Logs with initial setup ______________________________________________________________

2023-05-02 12:32:29 | CPU: 77.5% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310310 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011704832 | Disk Read Time: 6224 | Disk Write Time: 468069 | Disk Busy Time: 234540 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116139 | Network Connections: 1016
2023-05-02 12:32:30 | CPU: 77.6% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310310 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011704832 | Disk Read Time: 6224 | Disk Write Time: 468069 | Disk Busy Time: 234540 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116139 | Network Connections: 1014
2023-05-02 12:32:31 | CPU: 77.7% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310310 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011704832 | Disk Read Time: 6224 | Disk Write Time: 468069 | Disk Busy Time: 234540 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116139 | Network Connections: 1012
2023-05-02 12:32:32 | CPU: 77.2% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310313 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011807232 | Disk Read Time: 6224 | Disk Write Time: 468072 | Disk Busy Time: 234552 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116151 | Network Connections: 1016
2023-05-02 12:32:33 | CPU: 77.3% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310313 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011807232 | Disk Read Time: 6224 | Disk Write Time: 468072 | Disk Busy Time: 234552 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116151 | Network Connections: 1016
2023-05-02 12:32:34 | CPU: 77.3% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310314 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011815424 | Disk Read Time: 6224 | Disk Write Time: 468072 | Disk Busy Time: 234556 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116152 | Network Connections: 1015
2023-05-02 12:32:35 | CPU: 77.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310344 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011942400 | Disk Read Time: 6224 | Disk Write Time: 468211 | Disk Busy Time: 234576 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116152 | Network Connections: 1017
2023-05-02 12:32:36 | CPU: 77.0% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310344 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3011942400 | Disk Read Time: 6224 | Disk Write Time: 468211 | Disk Busy Time: 234576 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116152 | Network Connections: 1015
2023-05-02 12:32:38 | CPU: 77.4% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310355 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012089856 | Disk Read Time: 6224 | Disk Write Time: 468225 | Disk Busy Time: 234592 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116167 | Network Connections: 1015
2023-05-02 12:32:39 | CPU: 77.4% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310355 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012089856 | Disk Read Time: 6224 | Disk Write Time: 468225 | Disk Busy Time: 234592 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116167 | Network Connections: 1015
